dataset,n_files,total_size_MB,total_rows_est,n_columns,n_features_est,label_column,has_ip,has_port,has_proto,has_service,has_time,has_session_id,label_distribution_sampled_n,label_distribution,n_classes_sampled,missing_rate_sample,dup_rate_sample,errors
APA-DDoS,1,21.7,151200,23,22,Label,True,True,True,False,True,False,151200,"{""Benign"": 75600, ""DDoS-PSH-ACK"": 37800, ""DDoS-ACK"": 37800}",3,0.0,0.0,
Bot-IoT,74,14998.6,73370443,35,34,attack,True,True,True,False,True,True,29570443,"{""1"": 29567459, ""0"": 2984}",2,0.17149,0.0,
CIC-IDS-2017,8,884.6,2830743,79,78,Label,False,True,False,False,True,False,2362213,"{""DDoS"": 128027, ""BENIGN"": 1814525, ""PortScan"": 158930, ""Bot"": 1966, ""Infiltration"": 36, ""Web Attack \ufffd Brute Force"": 1507, ""Web Attack \ufffd XSS"": 652, ""Web Attack \ufffd Sql Injection"": 21, ""FTP-Patator"": 7938, ""SSH-Patator"": 5125, ""DoS Hulk"": 231073, ""DoS slowloris"": 5796, ""DoS Slowhttptest"": 5499, ""DoS GoldenEye"": 1118}",14,0.0,0.01415,
CICIoT2023,3,2319.3,7845673,47,46,label,True,False,True,False,True,False,1200000,"{""DDoS-ICMP_Flood"": 185514, ""DDoS-UDP_Flood"": 139262, ""DDoS-TCP_Flood"": 115468, ""DDoS-PSHACK_Flood"": 105015, ""DDoS-SYN_Flood"": 104578, ""DDoS-RSTFINFlood"": 103734, ""DDoS-SynonymousIP_Flood"": 92644, ""DoS-UDP_Flood"": 85482, ""DoS-TCP_Flood"": 68400, ""DoS-SYN_Flood"": 51989, ""BenignTraffic"": 28092, ""Mirai-greeth_flood"": 25327, ""Mirai-udpplain"": 22717, ""Mirai-greip_flood"": 19382, ""DDoS-ICMP_Fragmentation"": 11634, ""MITM-ArpSpoofing"": 7870, ""DDoS-UDP_Fragmentation"": 7438, ""DDoS-ACK_Fragmentation"": 7362, ""DNS_Spoofing"": 4576, ""Recon-HostDiscovery"": 3506, ""Recon-OSScan"": 2543, ""Recon-PortScan"": 2182, ""DoS-HTTP_Flood"": 1946, ""VulnerabilityScan"": 1000, ""DDoS-HTTP_Flood"": 710, ""DDoS-SlowLoris"": 611, ""DictionaryBruteForce"": 326, ""BrowserHijacking"": 151, ""SqlInjection"": 144, ""CommandInjection"": 121, ""XSS"": 90, ""Recon-PingSweep"": 56, ""Backdoor_Malware"": 88, ""Uploading_Attack"": 42}",34,0.0,0.00015,
CIC-VPN2016-flow,1,13.1,59706,24,23,traffic_type,False,False,False,False,True,False,59706,"{""BROWSING"": 10000, ""VPN-BROWSING"": 10000, ""VOIP"": 6485, ""VPN-VOIP"": 5576, ""VPN-FT"": 4704, ""P2P"": 4000, ""FT"": 3975, ""VPN-P2P"": 3415, ""VPN-CHAT"": 2839, ""CHAT"": 2505, ""VPN-MAIL"": 2444, ""MAIL"": 1364, ""STREAMING"": 1284, ""VPN-STREAMING"": 1115}",14,0.0,0.16715,
ISCX-VPN2016-CS240,4,128.8,271028,89,88,Label,True,True,True,True,True,True,271028,"{""hangout_audio"": 103860, ""hangout_video"": 3534, ""hangout_chat"": 980, ""unknown"": 3972, ""skype_audio"": 43328, ""skype_chat"": 8826, ""skype_video"": 1200, ""facebook_audio"": 103176, ""facebook_video"": 1088, ""facebook_chat"": 1064}",10,0.0,0.0,
Edge-IIoTset,1,1217.4,2219201,63,62,Attack_label,True,True,True,False,True,False,400000,"{""0"": 400000}",1,0.0,0.0,
ISCX-IDS-2012,2,783.6,5658998,30,29,label,True,True,True,False,True,False,800000,"{""attack"": 400000, ""normal"": 400000}",2,0.0,0.60315,
NSL-KDD,2,17.5,148517,42,41,labels,True,True,True,True,True,False,148517,"{""normal"": 78588, ""neptune"": 47868, ""satan"": 4331, ""ipsweep"": 4078, ""portsweep"": 3302, ""smurf"": 3186, ""nmap"": 1699, ""back"": 1183, ""teardrop"": 996, ""warezclient"": 997, ""pod"": 236, ""guess_passwd"": 464, ""buffer_overflow"": 47, ""warezmaster"": 299, ""land"": 20, ""imap"": 13, ""rootkit"": 14, ""loadmodule"": 13, ""ftp_write"": 10, ""multihop"": 16, ""phf"": 5, ""perl"": 4, ""spy"": 2, ""mscan"": 310, ""apache2"": 228, ""processtable"": 211, ""snmpguess"": 99, ""mailbomb"": 94, ""saint"": 93, ""snmpgetattack"": 43, ""httptunnel"": 41, ""ps"": 9, ""sendmail"": 8, ""xlock"": 4, ""xterm"": 3, ""named"": 2, ""xsnoop"": 1}",37,0.0,0.0,
RT-IoT2022,1,54.8,123117,85,84,Attack_type,False,False,True,True,True,True,123117,"{""DOS_SYN_Hping"": 94659, ""Thing_Speak"": 8108, ""ARP_poisioning"": 7750, ""MQTT_Publish"": 4146, ""NMAP_UDP_SCAN"": 2590, ""NMAP_XMAS_TREE_SCAN"": 2010, ""NMAP_OS_DETECTION"": 2000, ""NMAP_TCP_scan"": 1002, ""DDOS_Slowloris"": 534, ""Wipro_bulb"": 253, ""Metasploit_Brute_Force_SSH"": 37, ""NMAP_FIN_SCAN"": 28}",12,0.0,0.0,
ToN-IoT-Network,1,29.9,211043,44,43,label,True,True,True,True,True,False,211043,"{""1"": 161043, ""0"": 50000}",2,0.0,0.06445,
UNSW-NB15,2,47.7,257673,45,44,label,True,True,True,True,True,False,257673,"{""1"": 164673, ""0"": 93000}",2,0.0,0.0,
