accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_attack,recall_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,tn,fp,fn,tp,dataset,seed,component,split,row_cap,post_determinism_fix,note,train_time_sec
0.9472701819878675,0.9389014292549982,0.9423901362951714,0.9470499875303637,0.949499079942752,0.9690140845070423,0.9690140845070423,0.09121122599704579,0.030985915492957747,0.9912799379569721,0.9952439333926056,0.365,4922,494,297,9288,UNSW-NB15,0,Full_AegisGraphX_backbone,val,100000,True,,
0.9456,0.9383119688687165,0.9407144386749089,0.9454456952298624,0.9510338442547063,0.96452790818988,0.96452790818988,0.08790397045244691,0.03547209181011998,0.9916632492193337,0.995440245635168,0.365,4939,476,340,9245,UNSW-NB15,0,Full_AegisGraphX_backbone,test,100000,True,,
0.9480701286580895,0.9438640624313748,0.9437393231298531,0.9480774125693575,0.9596993109208604,0.9589984350547731,0.9589984350547731,0.07127031019202364,0.041001564945226915,0.9910652395691507,0.9951143948083238,0.48500000000000004,5030,386,393,9192,UNSW-NB15,0,No_ExpertEnsemble_BestSingleExpert,val,100000,True,XGBoost,
0.9453333333333334,0.941598209344298,0.9408539011728123,0.9453789089512455,0.9592371371686053,0.9550339071465832,0.9550339071465832,0.07183748845798707,0.044966092853416795,0.991389275428915,0.9952863764155326,0.48500000000000004,5026,389,431,9154,UNSW-NB15,0,No_ExpertEnsemble_BestSingleExpert,test,100000,True,XGBoost,
0.9454036397573495,0.9393682159701466,0.9406583762759416,0.9453219791646709,0.9538206668047214,0.9610850286906625,0.9610850286906625,0.08234859675036928,0.03891497130933751,0.9904195070306956,0.99472934253503,0.46,4970,446,373,9212,UNSW-NB15,0,No_MoERouter_EqualWeight,val,100000,True,,
0.9451333333333334,0.9397946930583192,0.9404489558285183,0.9450921348622903,0.9553107462066098,0.9589984350547731,0.9589984350547731,0.07940904893813482,0.041001564945226915,0.9908323398893412,0.9949595589426017,0.46,4985,430,393,9192,UNSW-NB15,0,No_MoERouter_EqualWeight,test,100000,True,,
0.94760349310046,0.9411699641472666,0.9429814395922096,0.9474931092423842,0.9541653762774853,0.964319248826291,0.964319248826291,0.08197932053175776,0.03568075117370892,0.9912730224555386,0.9952252592534023,0.395,4972,444,342,9243,UNSW-NB15,0,No_GraphBranch,val,100000,True,,
0.9463333333333334,0.9406934889319503,0.9417039735889599,0.9462709076164113,0.9552997303464011,0.9609806990088681,0.9609806990088681,0.07959372114496768,0.039019300991131975,0.9915763078178382,0.9953947599079795,0.395,4984,431,374,9211,UNSW-NB15,0,No_GraphBranch,test,100000,True,,
0.9476701553229785,0.9412622832019195,0.94305633423749,0.9475610227867644,0.9542638860210614,0.964319248826291,0.964319248826291,0.081794682422452,0.03568075117370892,0.9912738315114165,0.9952259182676533,0.395,4973,443,342,9243,UNSW-NB15,0,No_TemporalBranch,val,100000,True,,
0.9462666666666667,0.9406413240910529,0.9416339380623793,0.9462052769833159,0.9552950938699305,0.9608763693270735,0.9608763693270735,0.07959372114496768,0.03912363067292645,0.9915723870255493,0.9953925568351958,0.395,4984,431,375,9210,UNSW-NB15,0,No_TemporalBranch,test,100000,True,,
