macro_f1,balanced_accuracy,fpr,fnr,minority_recall,mean_realized_reward,commit_rate,isolation_rate,abstention_rate,escalation_rate,n_flows,dataset,seed,split,model,mean_expected_reward
0.9654429348431972,0.9549014266317876,0.0884561238854997,0.0017410228509249,0.9115438761145004,1.3210719285380976,0.8967402173188455,0.0,0.1032597826811545,0.0,15001,UNSW-NB15,0,val,AnalyticDecisionTheoretic,1.2984280586242676
0.9671127765961904,0.9565829399589976,0.0862873134328358,0.0005468066491688,0.9137126865671642,1.3198200000000002,0.8954666666666666,0.0,0.1045333333333333,0.0,15000,UNSW-NB15,0,test,AnalyticDecisionTheoretic,1.2983781099319458
0.9983847914533072,0.9974866478165252,0.0050267043669494,0.0,0.9949732956330506,1.697337850919652,0.9978564513898492,0.0,0.0021435486101507,0.0,14462,ToN-IoT-Network,0,val,AnalyticDecisionTheoretic,1.69612717628479
0.998333868218226,0.9973060344827588,0.0053879310344827,0.0,0.9946120689655172,1.7524328002722018,0.9977543382102756,0.0,0.0022456617897243,0.0,14695,ToN-IoT-Network,0,test,AnalyticDecisionTheoretic,1.7503732442855835
0.993240565335247,0.9956936845727458,0.004118050789293,0.0044945800652154,0.9958819492107068,1.7098088636841002,0.9984597073443956,0.0,0.0015402926556045,0.0,14283,ToN-IoT-Network,1,val,AnalyticDecisionTheoretic,1.719495415687561
0.9982076744354668,0.9974232042957611,0.0049867996479906,0.000166791760487,0.9950132003520094,1.6962525933609964,0.9984439834024896,0.0,0.0015560165975103,0.0,15424,ToN-IoT-Network,1,test,AnalyticDecisionTheoretic,1.696046233177185
0.9594246133388222,0.9465950923016496,0.1065931541465655,0.0002166612501354,0.8934068458534344,1.3229518032131191,0.9055396306912872,0.0,0.0944603693087127,0.0,15001,UNSW-NB15,1,val,AnalyticDecisionTheoretic,1.2987871170043943
0.9603527288974432,0.9475704997253486,0.1047508690614136,0.0001081314878892,0.8952491309385864,1.3264400000000005,0.9042,0.0,0.0958,0.0,15000,UNSW-NB15,1,test,AnalyticDecisionTheoretic,1.297560691833496
0.9632007574587128,0.9516324986844192,0.0959759481961147,0.0007590544350466,0.9040240518038852,1.3252916472235188,0.9030064662355844,0.0,0.0969935337644157,0.0,15001,UNSW-NB15,2,val,AnalyticDecisionTheoretic,1.3000861406326294
0.958897816284518,0.9460614782136876,0.1075514874141876,0.0003255561584373,0.8924485125858124,1.3200800000000004,0.9056666666666666,0.0,0.0943333333333333,0.0,15000,UNSW-NB15,2,test,AnalyticDecisionTheoretic,1.2987478971481323
0.961207351628308,0.94902141726572,0.1009817671809256,0.0009753982876341,0.8990182328190743,1.322351843210453,0.9002733151123259,0.0,0.0997266848876741,0.0,15001,UNSW-NB15,3,val,AnalyticDecisionTheoretic,1.3003278970718384
0.9631014383821848,0.951330844746523,0.0967966573816156,0.0005416531253385,0.9032033426183844,1.3267600000000002,0.9026,0.0,0.0974,0.0,15000,UNSW-NB15,3,test,AnalyticDecisionTheoretic,1.3058770895004272
0.9667086335462276,0.9568321193505924,0.0848,0.0015357612988152,0.9152,1.3143723751749885,0.8993400439970669,0.0,0.1006599560029331,0.0,15001,UNSW-NB15,6,val,AnalyticDecisionTheoretic,1.2847694158554075
0.9608407855324896,0.9491292300124008,0.1003213957759412,0.0014201441992571,0.8996786042240588,1.3118200000000002,0.9006666666666666,0.0,0.0993333333333333,0.0,15000,UNSW-NB15,6,test,AnalyticDecisionTheoretic,1.2920559644699097
0.9659887640889514,0.9551650135365696,0.0889045273281726,0.0007654455986878,0.9110954726718272,1.3176121591893877,0.8938070795280315,0.0,0.1061929204719685,0.0,15001,UNSW-NB15,9,val,AnalyticDecisionTheoretic,1.289386510848999
0.9672679108470904,0.9567636814699374,0.0860340405688971,0.000438596491228,0.9139659594311028,1.3169400000000002,0.8939333333333334,0.0,0.1060666666666666,0.0,15000,UNSW-NB15,9,test,AnalyticDecisionTheoretic,1.2897783517837524
0.9987618631792728,0.9981762868037602,0.0035587188612099,8.870753126940477e-05,0.99644128113879,1.7058166169223297,0.9970153397653918,0.0,0.0029846602346081,0.0,14407,ToN-IoT-Network,2,val,AnalyticDecisionTheoretic,1.702976107597351
0.9984359310955668,0.9976803570540482,0.0045523520485584,8.693384334521429e-05,0.9954476479514416,1.692800808897877,0.997505898213684,0.0,0.0024941017863161,0.0,14835,ToN-IoT-Network,2,test,AnalyticDecisionTheoretic,1.6910583972930908
