accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_benign,recall_benign,f1_benign,precision_attack,recall_attack,f1_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,threshold_key,tn,fp,fn,tp,dataset,seed,model,family,label_fraction,n_train_labels
0.9018666666666667,0.8815314981729374,0.8909804060979873,0.9004335386930683,0.9119966791199668,0.8074237412715913,0.8565302144249513,0.8970732665488116,0.9556392550742834,0.9254305977710233,0.9556392550742834,0.19257625872840867,0.04436074492571668,0.9670370470342232,0.9799839906281238,0.42000000000000004,temperature,2197,524,212,4567,UNSW-NB15,42,AegisGraphX,proposed_method,0.01,349
0.9284,0.9244294625074373,0.9228535161720004,0.9285296294082128,0.8945086705202312,0.9099595736861448,0.9021679723082529,0.9482248520710059,0.9388993513287298,0.9435390600357481,0.9388993513287298,0.0900404263138552,0.06110064867127014,0.9846728524640641,0.990485410078577,0.595,temperature,2476,245,292,4487,UNSW-NB15,42,AegisGraphX,proposed_method,0.1,3499
0.9364,0.933634794637417,0.9315468099942843,0.9365482446621676,0.9033069734004313,0.9235575156192576,0.9133200072687625,0.9559135226791013,0.9437120736555765,0.9497736127198062,0.9437120736555765,0.07644248438074237,0.05628792634442352,0.9881734056545162,0.9934653862510933,0.53,temperature,2513,208,269,4510,UNSW-NB15,42,AegisGraphX,proposed_method,0.5,17499
0.9384,0.9335423975667156,0.9334051929419729,0.9384097269855074,0.9144954128440367,0.9158397647923557,0.9151670951156813,0.9520418848167539,0.9512450303410755,0.9516432907682646,0.9512450303410755,0.08416023520764425,0.04875496965892446,0.9895413283292033,0.9942387779284666,0.49,temperature,2492,229,233,4546,UNSW-NB15,42,AegisGraphX,proposed_method,1.0,34999
0.98156853043048,0.9798755800615994,0.9774143229017392,0.9816152607718761,0.9596219931271478,0.9759720401922237,0.9677279618800086,0.9904447533009034,0.983779119930975,0.9871006839234698,0.983779119930975,0.024027959807776323,0.016220880069025022,0.9946176540765358,0.9979358687383463,0.56,temperature,2234,55,94,5701,ToN-IoT-Network,42,AegisGraphX,proposed_method,0.01,345
0.9930727362691737,0.9896177501959139,0.9914361004806864,0.9930597691491744,0.9938080495356038,0.981651376146789,0.9876923076923076,0.9927872230808862,0.9975841242450388,0.9951798932690652,0.9975841242450388,0.01834862385321101,0.0024158757549611735,0.9980416901782204,0.9957834527644241,0.395,temperature,2247,42,14,5781,ToN-IoT-Network,42,AegisGraphX,proposed_method,0.1,3450
0.9956704601682336,0.9946013703230855,0.9946667427680917,0.9956701739642414,0.9925699300699301,0.9921363040629095,0.9923530696963077,0.9968944099378882,0.9970664365832614,0.9969804158398757,0.9970664365832614,0.007863695937090432,0.002933563416738568,0.99921099183513,0.9984527169215385,0.5650000000000001,temperature,2271,18,17,5778,ToN-IoT-Network,42,AegisGraphX,proposed_method,0.5,17250
0.9975259772389906,0.9969528272478458,0.9969528272478458,0.9975259772389906,0.9956312800349497,0.9956312800349497,0.9956312800349497,0.998274374460742,0.998274374460742,0.998274374460742,0.998274374460742,0.00436871996505024,0.001725625539257981,0.9998263820176099,0.9999245461560284,0.615,temperature,2279,10,10,5785,ToN-IoT-Network,42,AegisGraphX,proposed_method,1.0,34500
0.9823497628624602,0.7356704090638533,0.7826561848453133,0.9805654072101223,0.7238442822384428,0.476,0.5743243243243243,0.9866731774807219,0.9953408181277067,0.9909880453663023,0.9953408181277067,0.524,0.004659181872293262,0.9156068964101722,0.9949383340208797,0.495,temperature,595,655,227,48494,CICIoT2023,42,AegisGraphX,proposed_method,0.01,500
0.9933761581717396,0.9346348473963999,0.932443786332359,0.9933928491581678,0.8638163103721298,0.8728,0.8682849184241942,0.9967356491746736,0.9964696947927998,0.9966026542405239,0.9964696947927998,0.1272,0.0035303052072001807,0.9982680486853718,0.9999555414323559,0.47500000000000003,temperature,1091,159,172,48549,CICIoT2023,42,AegisGraphX,proposed_method,0.1,5000
0.9944567849352625,0.9277840110014162,0.9413720276840065,0.9943685894395137,0.9154568744662681,0.8576,0.8855844692275919,0.9963524590163935,0.9979680220028324,0.997159586140421,0.9979680220028324,0.1424,0.002031977997167546,0.9987285318445844,0.9999674327314629,0.335,temperature,1072,178,99,48622,CICIoT2023,42,AegisGraphX,proposed_method,0.5,25000
0.9950371215304877,0.9612093101537325,0.9503269501693792,0.9950955920872256,0.881859756097561,0.9256,0.9032006245120999,0.9980887400069874,0.9968186203074649,0.9974532758266584,0.9968186203074649,0.0744,0.0031813796925350465,0.9991166355370374,0.9999774291219846,0.405,temperature,1157,93,155,48566,CICIoT2023,42,AegisGraphX,proposed_method,1.0,50000
