dataset,bin_center,accuracy,confidence,count
UNSW-NB15,0.03333333333333333,0.003067484662576687,0.0012592044658958912,1956
UNSW-NB15,0.1,0.136,0.10648573189973831,125
UNSW-NB15,0.16666666666666669,0.21354166666666666,0.16637499630451202,192
UNSW-NB15,0.23333333333333334,0.22981366459627328,0.2315051108598709,161
UNSW-NB15,0.3,0.366412213740458,0.29808923602104187,131
UNSW-NB15,0.3666666666666667,0.45081967213114754,0.37003985047340393,122
UNSW-NB15,0.43333333333333335,0.42452830188679247,0.43308025598526,106
UNSW-NB15,0.5,0.5568181818181818,0.501161515712738,88
UNSW-NB15,0.5666666666666667,0.5614035087719298,0.5688869953155518,57
UNSW-NB15,0.6333333333333333,0.6142857142857143,0.6289384961128235,70
UNSW-NB15,0.7,0.7866666666666666,0.6998741030693054,75
UNSW-NB15,0.7666666666666666,0.7391304347826086,0.7659441232681274,92
UNSW-NB15,0.8333333333333334,0.8709677419354839,0.8337268829345703,93
UNSW-NB15,0.9,0.8928571428571429,0.9032716751098633,140
UNSW-NB15,0.9666666666666667,0.9970674486803519,0.996256411075592,4092
ToN-IoT-Network,0.03333333333333333,0.0006464124111182935,0.0011255912249907851,1547
ToN-IoT-Network,0.1,0.0,0.09246233105659485,18
ToN-IoT-Network,0.16666666666666669,0.18181818181818182,0.17131076753139496,11
ToN-IoT-Network,0.23333333333333334,0.5,0.26373744010925293,2
ToN-IoT-Network,0.3,0.3333333333333333,0.3087402284145355,3
ToN-IoT-Network,0.3666666666666667,0.4,0.35356631875038147,5
ToN-IoT-Network,0.43333333333333335,,,0
ToN-IoT-Network,0.5,0.5,0.47693946957588196,2
ToN-IoT-Network,0.5666666666666667,1.0,0.5671849250793457,1
ToN-IoT-Network,0.6333333333333333,,,0
ToN-IoT-Network,0.7,0.0,0.712615966796875,1
ToN-IoT-Network,0.7666666666666666,,,0
ToN-IoT-Network,0.8333333333333334,0.75,0.8370118737220764,8
ToN-IoT-Network,0.9,0.5555555555555556,0.9047349095344543,9
ToN-IoT-Network,0.9666666666666667,0.999475982532751,0.9995055198669434,5725
CICIoT2023,0.03333333333333333,0.06733393994540492,0.007550741080194712,1099
CICIoT2023,0.1,0.28421052631578947,0.09708860516548157,95
CICIoT2023,0.16666666666666669,0.3,0.16804978251457214,60
CICIoT2023,0.23333333333333334,0.4634146341463415,0.2318117320537567,41
CICIoT2023,0.3,0.3333333333333333,0.3018588423728943,33
CICIoT2023,0.3666666666666667,0.358974358974359,0.36090782284736633,39
CICIoT2023,0.43333333333333335,0.7096774193548387,0.43931517004966736,31
CICIoT2023,0.5,0.6153846153846154,0.4955804944038391,26
CICIoT2023,0.5666666666666667,0.68,0.5613203644752502,25
CICIoT2023,0.6333333333333333,0.8888888888888888,0.6391388773918152,27
CICIoT2023,0.7,0.803921568627451,0.706799328327179,51
CICIoT2023,0.7666666666666666,0.8571428571428571,0.7698122262954712,49
CICIoT2023,0.8333333333333334,0.8571428571428571,0.8391083478927612,56
CICIoT2023,0.9,0.9494949494949495,0.90349280834198,99
CICIoT2023,0.9666666666666667,0.9997720254502498,0.9997223019599915,48251
