dataset,seed,mode,split,reward_weights,accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,cumulative_reward,cumulative_reward_per_window,avg_detection_delay,telemetry_cost,escalation_rate,isolation_rate,abstention_rate,budget_violation_rate,calibration_violation_rate,commit_rate
UNSW-NB15,0,Mode1_CommonDefaultReward,val,None,0.9437408345553926,0.943476552114938,0.9396045900650452,0.9439726159583158,0.9444328389387926,0.9425202652910832,0.9666452854393842,0.05747973470891673,0.05556716106120744,0.9902193040319373,0.9946099379994433,9089.240000000009,77.02745762711872,0.0,0.0,0.0,0.0,0.0,0.0,0.03479536061858419,1.0
UNSW-NB15,0,Mode1_CommonDefaultReward,test,None,0.944,0.9443177580396767,0.9399488661735891,0.9442578750484985,0.9431675720852486,0.9454679439941046,0.9682539682539683,0.054532056005895356,0.056832427914751356,0.9903335878010692,0.9947047271353585,9086.70000000001,77.00593220338992,0.0,0.0,0.0,0.0,0.0,0.0,0.0264,1.0
UNSW-NB15,0,Mode2_ValidationTunedReward,val,"{'c_isolate_benign': 1.2, 'r_isolate_malicious': 0.6, 'w_fp': 1.5}",0.9437408345553926,0.943476552114938,0.9396045900650452,0.9439726159583158,0.9444328389387926,0.9425202652910832,0.9666452854393842,0.05747973470891673,0.05556716106120744,0.9902193040319373,0.9946099379994433,9089.240000000009,77.02745762711872,0.0,0.0,0.0,0.0,0.0,0.0,0.03479536061858419,1.0
UNSW-NB15,0,Mode2_ValidationTunedReward,test,"{'c_isolate_benign': 1.2, 'r_isolate_malicious': 0.6, 'w_fp': 1.5}",0.944,0.9443177580396767,0.9399488661735891,0.9442578750484985,0.9431675720852486,0.9454679439941046,0.9682539682539683,0.054532056005895356,0.056832427914751356,0.9903335878010692,0.9947047271353585,9086.70000000001,77.00593220338992,0.0,0.0,0.0,0.0,0.0,0.0,0.0264,1.0
UNSW-NB15,1,Mode1_CommonDefaultReward,val,None,0.9404079456072524,0.9359482765518234,0.9355671682533478,0.9404338447078812,0.9521321070234113,0.9197644460802356,0.9543264194426985,0.08023555391976445,0.04786789297658863,0.9896354305789264,0.994291943025259,9152.310000000007,77.56194915254243,0.0,0.0,0.0,0.0,0.0,0.0,0.03706172510331956,0.9676043194240768
UNSW-NB15,1,Mode1_CommonDefaultReward,test,None,0.9426666666666667,0.9392222664157895,0.9381053963956882,0.9427383565726939,0.9517140468227425,0.9267304860088366,0.9581228956228957,0.07326951399116348,0.04828595317725753,0.9905889507735653,0.9948088046990726,9173.24000000001,77.73932203389839,0.0,0.0,0.0,0.0,0.0,0.0,0.038266666666666664,0.9633333333333334
UNSW-NB15,1,Mode2_ValidationTunedReward,val,"{'c_isolate_benign': 1.2, 'r_isolate_malicious': 0.6, 'w_fp': 1.5}",0.9224706744868035,0.821857191152323,0.8244419008753,0.9221580980686163,0.9569327731092437,0.6867816091954023,0.9543264194426985,0.3132183908045977,0.0430672268907563,0.9647584033613446,0.9949491688299148,8624.140000000007,73.08593220338989,0.0,0.0,0.0,0.0,0.2726303159578723,0.0,0.036128516197840285,0.7273696840421278
UNSW-NB15,1,Mode2_ValidationTunedReward,test,"{'c_isolate_benign': 1.2, 'r_isolate_malicious': 0.6, 'w_fp': 1.5}",0.9251688264281803,0.8386939047518392,0.8362936734335747,0.9254330082057219,0.9557094878253568,0.7216783216783217,0.9581228956228957,0.2783216783216783,0.04429051217464316,0.9679243510477769,0.9952889673183272,8639.350000000004,73.2148305084746,0.0,0.0,0.0,0.0,0.2694666666666667,0.0,0.03746666666666667,0.7305333333333334
UNSW-NB15,2,Mode1_CommonDefaultReward,val,None,0.9408078922810292,0.939119073727845,0.9361150613466853,0.9410017918375884,0.9451029320024953,0.9331352154531947,0.9619047619047619,0.06686478454680535,0.05489706799750468,0.9895165454075243,0.9943135812177695,9093.840000000007,77.06644067796617,0.0,0.0,0.0,0.0,0.0,0.0,0.03586188508198907,1.0
UNSW-NB15,2,Mode1_CommonDefaultReward,test,None,0.9421333333333334,0.93966284523318,0.9374412418545806,0.9422749641374631,0.9484193011647255,0.9309063893016345,0.9608091024020228,0.06909361069836553,0.051580698835274545,0.9901971979588254,0.9946506196595146,9167.050000000003,77.68686440677969,0.0,0.0,0.0,0.0,0.0,0.0,0.033466666666666665,1.0
