dataset,seed,model,n_params,inference_latency_sec_per_sample,train_time_sec,model_size_kb,peak_memory_MB
UNSW-NB15,0,BestSingleTreeExpert,,1.8423080444335937e-06,,,
UNSW-NB15,0,Full9ExpertEnsemble+MoERouter,,4.52490488688151e-05,73.22681546211243,,515.17618
UNSW-NB15,0,FullAegisGraphX_backbone+RL,9875.0,4.52490488688151e-05,88.15809607505798,,
UNSW-NB15,0,DistilledStudent,8082.0,6.872812906901042e-08,6.716033220291138,31.5703125,
UNSW-NB15,1,BestSingleTreeExpert,,1.6698837280273436e-06,,,
UNSW-NB15,1,Full9ExpertEnsemble+MoERouter,,5.403515497843425e-05,87.69816374778748,,483.811847
UNSW-NB15,1,FullAegisGraphX_backbone+RL,9875.0,5.403515497843425e-05,102.18356847763062,,
UNSW-NB15,1,DistilledStudent,8082.0,7.82012939453125e-08,7.063102960586548,31.5703125,
UNSW-NB15,2,BestSingleTreeExpert,,2.1027565002441405e-06,,,
UNSW-NB15,2,Full9ExpertEnsemble+MoERouter,,4.7986253102620443e-05,90.16527462005615,,483.669061
UNSW-NB15,2,FullAegisGraphX_backbone+RL,9875.0,4.7986253102620443e-05,103.68951511383057,,
UNSW-NB15,2,DistilledStudent,8082.0,5.922317504882813e-08,5.756940603256226,31.5703125,
ToN-IoT-Network,0,BestSingleTreeExpert,,1.3240067866481983e-05,,,
ToN-IoT-Network,0,Full9ExpertEnsemble+MoERouter,,5.152829670216695e-05,80.98912119865417,,480.451575
ToN-IoT-Network,0,FullAegisGraphX_backbone+RL,9747.0,5.152829670216695e-05,94.18282413482666,,
ToN-IoT-Network,0,DistilledStudent,7954.0,7.251410684621991e-08,6.651746511459351,31.0703125,
ToN-IoT-Network,1,BestSingleTreeExpert,,1.5149500147888335e-05,,,
ToN-IoT-Network,1,Full9ExpertEnsemble+MoERouter,,5.3351150219500445e-05,87.0826108455658,,471.579887
ToN-IoT-Network,1,FullAegisGraphX_backbone+RL,9747.0,5.3351150219500445e-05,100.22467732429504,,
ToN-IoT-Network,1,DistilledStudent,7954.0,6.921191817988406e-08,6.413711786270142,31.0703125,
ToN-IoT-Network,2,BestSingleTreeExpert,,2.9232010868777728e-06,,,
ToN-IoT-Network,2,Full9ExpertEnsemble+MoERouter,,5.2576029369209944e-05,95.89611148834229,,476.721551
ToN-IoT-Network,2,FullAegisGraphX_backbone+RL,9747.0,5.2576029369209944e-05,108.91988468170166,,
ToN-IoT-Network,2,DistilledStudent,7954.0,6.759601741403743e-08,5.691082954406738,31.0703125,
CICIoT2023,0,BestSingleTreeExpert,,4.442002105377076e-07,,,
CICIoT2023,0,Full9ExpertEnsemble+MoERouter,,3.758699762010759e-05,193.31874012947083,,4130.019187
CICIoT2023,0,FullAegisGraphX_backbone+RL,10131.0,3.758699762010759e-05,206.63205337524414,,
CICIoT2023,0,DistilledStudent,8338.0,5.212276047062489e-08,7.944852352142334,32.5703125,
CICIoT2023,1,BestSingleTreeExpert,,3.0046704412997515e-07,,,
CICIoT2023,1,Full9ExpertEnsemble+MoERouter,,3.862153416338296e-05,196.8246669769287,,4130.016318
CICIoT2023,1,FullAegisGraphX_backbone+RL,10131.0,3.862153416338296e-05,210.1971573829651,,
CICIoT2023,1,DistilledStudent,8338.0,4.8780989921230147e-08,9.298286437988281,32.5703125,
CICIoT2023,2,BestSingleTreeExpert,,6.138190875132777e-07,,,
CICIoT2023,2,Full9ExpertEnsemble+MoERouter,,3.898853529125414e-05,198.35606575012207,,4130.012196
CICIoT2023,2,FullAegisGraphX_backbone+RL,10131.0,3.898853529125414e-05,210.69878029823303,,
CICIoT2023,2,DistilledStudent,8338.0,5.055137846747678e-08,7.984275579452515,32.5703125,
