dataset,seed,model,n_params,inference_latency_sec_per_sample,train_time_sec,model_size_kb,row_cap,post_determinism_fix,peak_memory_MB
UNSW-NB15,0,BestSingleTreeExpert,,3.348032633463542e-07,,,100000,True,
UNSW-NB15,0,Full9ExpertEnsemble+MoERouter,,4.817790985107422e-05,139.88743829727173,,100000,True,964.448929
UNSW-NB15,0,FullAegisGraphX_backbone+RL,9875.0,4.817790985107422e-05,165.6628291606903,,100000,True,
UNSW-NB15,0,DistilledStudent,8082.0,4.947980244954427e-08,13.952767610549927,31.5703125,100000,True,
ToN-IoT-Network,0,BestSingleTreeExpert,,1.9221615734535157e-06,,,100000,True,
ToN-IoT-Network,0,Full9ExpertEnsemble+MoERouter,,3.221660456960807e-05,149.37395787239075,,100000,True,955.21368
ToN-IoT-Network,0,FullAegisGraphX_backbone+RL,9747.0,3.221660456960807e-05,164.75774431228638,,100000,True,
ToN-IoT-Network,0,DistilledStudent,7954.0,6.804542502565179e-08,16.377650260925293,31.0703125,100000,True,
CICIoT2023,0,BestSingleTreeExpert,,3.098541961628079e-07,,,100000,True,
CICIoT2023,0,Full9ExpertEnsemble+MoERouter,,3.365416674686061e-05,319.7462658882141,,100000,True,4130.011578
CICIoT2023,0,FullAegisGraphX_backbone+RL,10131.0,3.365416674686061e-05,335.67548418045044,,100000,True,
CICIoT2023,0,DistilledStudent,8338.0,5.9392876754340935e-08,21.646098613739014,32.5703125,100000,True,
UNSW-NB15,1,BestSingleTreeExpert,,8.710225423177083e-07,,,100000,True,
UNSW-NB15,1,Full9ExpertEnsemble+MoERouter,,5.063803990681966e-05,159.68636178970337,,100000,True,963.37332
UNSW-NB15,1,FullAegisGraphX_backbone+RL,9875.0,5.063803990681966e-05,177.6647720336914,,100000,True,
UNSW-NB15,1,DistilledStudent,8082.0,5.704561869303385e-08,13.746820449829102,31.5703125,100000,True,
ToN-IoT-Network,1,BestSingleTreeExpert,,1.6701357493262073e-06,,,100000,True,
ToN-IoT-Network,1,Full9ExpertEnsemble+MoERouter,,9.283009159119791e-05,167.02480101585388,,100000,True,949.126269
ToN-IoT-Network,1,FullAegisGraphX_backbone+RL,9747.0,9.283009159119791e-05,187.89737796783447,,100000,True,
ToN-IoT-Network,1,DistilledStudent,7954.0,5.366891251560069e-08,15.078150749206543,31.0703125,100000,True,
CICIoT2023,1,BestSingleTreeExpert,,9.510299677576696e-07,,,100000,True,
CICIoT2023,1,Full9ExpertEnsemble+MoERouter,,3.21079342702658e-05,401.80708861351013,,100000,True,4130.010398
CICIoT2023,1,FullAegisGraphX_backbone+RL,10131.0,3.21079342702658e-05,420.9654314517975,,100000,True,
CICIoT2023,1,DistilledStudent,8338.0,7.672190975262945e-08,55.91372466087341,32.5703125,100000,True,
UNSW-NB15,2,BestSingleTreeExpert,,3.7363370259602863e-07,,,100000,True,
UNSW-NB15,2,Full9ExpertEnsemble+MoERouter,,5.584885279337565e-05,415.7625296115875,,100000,True,963.83558
UNSW-NB15,2,FullAegisGraphX_backbone+RL,9875.0,5.584885279337565e-05,432.4923310279846,,100000,True,
UNSW-NB15,2,DistilledStudent,8082.0,6.554921468098958e-08,41.852526903152466,31.5703125,100000,True,
ToN-IoT-Network,2,BestSingleTreeExpert,,2.983888472456461e-06,,,100000,True,
ToN-IoT-Network,2,Full9ExpertEnsemble+MoERouter,,4.841171614361163e-05,211.09277296066284,,100000,True,954.290397
ToN-IoT-Network,2,FullAegisGraphX_backbone+RL,9747.0,4.841171614361163e-05,225.63022208213806,,100000,True,
ToN-IoT-Network,2,DistilledStudent,7954.0,9.49335050052531e-08,26.896886825561523,31.0703125,100000,True,
CICIoT2023,2,BestSingleTreeExpert,,7.454082401123756e-07,,,100000,True,
CICIoT2023,2,Full9ExpertEnsemble+MoERouter,,3.5133037192594765e-05,479.27816677093506,,100000,True,4130.012631
CICIoT2023,2,FullAegisGraphX_backbone+RL,10131.0,3.5133037192594765e-05,496.60087275505066,,100000,True,
CICIoT2023,2,DistilledStudent,8338.0,8.37068412465091e-08,21.472312927246094,32.5703125,100000,True,
UNSW-NB15,3,BestSingleTreeExpert,,3.959337870279948e-07,,,100000,True,
UNSW-NB15,3,Full9ExpertEnsemble+MoERouter,,7.238044738769531e-05,258.8397376537323,,100000,True,963.754599
UNSW-NB15,3,FullAegisGraphX_backbone+RL,9875.0,7.238044738769531e-05,277.4904901981354,,100000,True,
UNSW-NB15,3,DistilledStudent,8082.0,4.61737314860026e-08,18.64657688140869,31.5703125,100000,True,
ToN-IoT-Network,3,BestSingleTreeExpert,,1.6359777019628138e-05,,,100000,True,
ToN-IoT-Network,3,Full9ExpertEnsemble+MoERouter,,6.899950780662431e-05,209.83760452270508,,100000,True,949.731456
ToN-IoT-Network,3,FullAegisGraphX_backbone+RL,9747.0,6.899950780662431e-05,225.90493249893188,,100000,True,
ToN-IoT-Network,3,DistilledStudent,7954.0,5.931579449946535e-08,21.980700969696045,31.0703125,100000,True,
CICIoT2023,3,BestSingleTreeExpert,,8.237104676656419e-07,,,100000,True,
CICIoT2023,3,Full9ExpertEnsemble+MoERouter,,3.81993566895081e-05,380.3582499027252,,100000,True,4130.010021
CICIoT2023,3,FullAegisGraphX_backbone+RL,10131.0,3.81993566895081e-05,394.1363718509674,,100000,True,
CICIoT2023,3,DistilledStudent,8338.0,6.087171176669261e-08,15.749241828918457,32.5703125,100000,True,
UNSW-NB15,4,BestSingleTreeExpert,,3.4436543782552085e-06,,,100000,True,
UNSW-NB15,4,Full9ExpertEnsemble+MoERouter,,6.783960660298666e-05,239.4907820224762,,100000,True,963.640344
UNSW-NB15,4,FullAegisGraphX_backbone+RL,9875.0,6.783960660298666e-05,253.57104516029358,,100000,True,
UNSW-NB15,4,DistilledStudent,8082.0,5.558331807454427e-08,11.28498649597168,31.5703125,100000,True,
ToN-IoT-Network,4,BestSingleTreeExpert,,3.217520548437873e-06,,,100000,True,
ToN-IoT-Network,4,Full9ExpertEnsemble+MoERouter,,7.27906410685778e-05,219.04202723503113,,100000,True,943.277252
ToN-IoT-Network,4,FullAegisGraphX_backbone+RL,9747.0,7.27906410685778e-05,232.73139119148254,,100000,True,
ToN-IoT-Network,4,DistilledStudent,7954.0,3.756439082758312e-08,11.899526357650757,31.0703125,100000,True,
