class,precision,recall,f1,support,dataset,seed
Analysis,0.24324324324324326,0.06474820143884892,0.10227272727272728,139,UNSW-NB15,0
Backdoor,0.38461538461538464,0.07246376811594203,0.12195121951219512,138,UNSW-NB15,0
DoS,0.48507462686567165,0.06842105263157895,0.11992619926199262,950,UNSW-NB15,0
Exploits,0.6126992157854794,0.9177718832891246,0.7348300970873787,2639,UNSW-NB15,0
Fuzzers,0.7088733798604188,0.5096774193548387,0.5929941618015012,1395,UNSW-NB15,0
Generic,0.9973086124401914,0.9788670384502495,0.9880017775144423,3407,UNSW-NB15,0
Normal,0.8961335676625659,0.9416435826408126,0.9183250787933364,5415,UNSW-NB15,0
Reconnaissance,0.9397590361445783,0.75,0.8342245989304813,832,UNSW-NB15,0
Shellcode,0.4166666666666667,0.5625,0.4787234042553192,80,UNSW-NB15,0
Worms,0.024390243902439025,0.2,0.043478260869565216,5,UNSW-NB15,0
Analysis,0.46153846153846156,0.08391608391608392,0.14201183431952663,143,UNSW-NB15,1
Backdoor,0.18518518518518517,0.04504504504504504,0.07246376811594203,111,UNSW-NB15,1
DoS,0.4772727272727273,0.0916030534351145,0.1537053979871912,917,UNSW-NB15,1
Exploits,0.6289742880840475,0.875,0.7318642432041177,2600,UNSW-NB15,1
Fuzzers,0.6757281553398058,0.49361702127659574,0.5704918032786885,1410,UNSW-NB15,1
Generic,0.9964465501924785,0.9784821168944461,0.9873826291079812,3439,UNSW-NB15,1
Normal,0.8923130800210121,0.9421334812349788,0.9165467625899281,5409,UNSW-NB15,1
Reconnaissance,0.9225449515905948,0.7693194925028836,0.8389937106918239,867,UNSW-NB15,1
Shellcode,0.5483870967741935,0.5368421052631579,0.5425531914893617,95,UNSW-NB15,1
Worms,0.00909090909090909,0.2222222222222222,0.017467248908296942,9,UNSW-NB15,1
Analysis,0.43333333333333335,0.087248322147651,0.1452513966480447,149,UNSW-NB15,2
Backdoor,0.36538461538461536,0.13194444444444445,0.19387755102040816,144,UNSW-NB15,2
DoS,0.5234375,0.0700836820083682,0.12361623616236163,956,UNSW-NB15,2
Exploits,0.6143687268885367,0.9093041438623924,0.7332912988650694,2558,UNSW-NB15,2
Fuzzers,0.7036688617121355,0.5249122807017544,0.6012861736334405,1425,UNSW-NB15,2
Generic,0.9958567623557265,0.9804778554778555,0.9881074732051094,3432,UNSW-NB15,2
Normal,0.898430611885029,0.9426456984273821,0.9200072228241243,5405,UNSW-NB15,2
Reconnaissance,0.91701244813278,0.7892857142857143,0.8483685220729367,840,UNSW-NB15,2
Shellcode,0.5376344086021505,0.5882352941176471,0.5617977528089888,85,UNSW-NB15,2
Worms,0.013333333333333334,0.16666666666666666,0.024691358024691357,6,UNSW-NB15,2
backdoor,0.9993769470404984,0.9993769470404984,0.9993769470404984,1605,ToN-IoT-Network,0
ddos,0.9796067006554989,0.9676258992805755,0.9735794426348172,1390,ToN-IoT-Network,0
dos,0.9625377643504531,0.976701410177805,0.9695678636640293,1631,ToN-IoT-Network,0
injection,0.9786476868327402,0.9622113365990203,0.9703599153140438,1429,ToN-IoT-Network,0
mitm,0.47126436781609193,0.6212121212121212,0.5359477124183006,66,ToN-IoT-Network,0
normal,0.9891969751530428,0.9761904761904762,0.9826506886066894,2814,ToN-IoT-Network,0
password,0.9943181818181818,0.9776536312849162,0.9859154929577465,1432,ToN-IoT-Network,0
