dataset,model,perturbation,macro_f1,minority_recall,pr_auc,fpr,fnr
CICIoT2023,HistGradientBoosting,class_imbalance_stress,0.9166622945480116,0.9139344262295082,0.9999959163876628,0.0860655737704918,0.0020724538058254
CICIoT2023,HistGradientBoosting,clean_baseline,0.9591549022989748,0.9229508196721312,0.9999872738837478,0.0770491803278688,0.0020724538058254
CICIoT2023,HistGradientBoosting,feature_noise_high,0.5408676504257299,0.05,0.996265172997849,0.95,0.0004309062368547
CICIoT2023,HistGradientBoosting,feature_noise_low,0.6145431087646471,0.140983606557377,0.9988220636439172,0.8590163934426229,0.0008310334567913
CICIoT2023,HistGradientBoosting,label_noise_5pct,0.7093424181746236,0.299652052887961,0.9505245038413814,0.700347947112039,0.0032461930028902
CICIoT2023,HistGradientBoosting,missing_features_20pct,0.8098454928724798,0.4709016393442622,0.9998575112153236,0.5290983606557377,0.0008002544398731
CICIoT2023,HistGradientBoosting,missing_features_50pct,0.5903856293367407,0.1065573770491803,0.9988403803613864,0.8934426229508197,0.0001025967230606
CICIoT2023,MLP,class_imbalance_stress,0.5970024209977778,0.9918032786885246,0.9995923816149774,0.0081967213114754,0.0524577045009182
CICIoT2023,MLP,clean_baseline,0.7219549154592368,0.9959016393442623,0.9986394935196878,0.0040983606557377,0.0555561255373503
CICIoT2023,MLP,feature_noise_high,0.4874006714954087,0.5409836065573771,0.9873626906704748,0.4590163934426229,0.2207060706481035
CICIoT2023,MLP,feature_noise_low,0.4761582722181432,0.8020491803278689,0.9922647559007202,0.1979508196721311,0.2857113543793411
CICIoT2023,MLP,label_noise_5pct,0.6469352206346084,0.3601948503827418,0.9488947391532394,0.6398051496172582,0.055638238212329
CICIoT2023,MLP,missing_features_20pct,0.7933997586893824,0.8401639344262295,0.99631662657961,0.1598360655737705,0.0239358154900532
CICIoT2023,MLP,missing_features_50pct,0.7048568867075589,0.6729508196721311,0.9897254694879928,0.3270491803278688,0.036083267500436
ToN-IoT-Network,HistGradientBoosting,class_imbalance_stress,0.9978882581821744,0.9966055668703326,0.9999786781846076,0.0033944331296673,0.0005354752342704
ToN-IoT-Network,HistGradientBoosting,clean_baseline,0.9984618561274656,0.9969462540716612,0.999921829767798,0.0030537459283387,0.0005354752342704
ToN-IoT-Network,HistGradientBoosting,feature_noise_high,0.5070291446162194,0.811685667752443,0.808623491448514,0.188314332247557,0.6264167782240071
ToN-IoT-Network,HistGradientBoosting,feature_noise_low,0.569209311174995,0.7909201954397395,0.835580858733733,0.2090798045602606,0.5228915662650603
ToN-IoT-Network,HistGradientBoosting,label_noise_5pct,0.9408714290748718,0.8894827257110135,0.9422162488746888,0.1105172742889864,0.022338665195808
ToN-IoT-Network,HistGradientBoosting,missing_features_20pct,0.8716311687916632,0.691571661237785,0.9804023484413238,0.308428338762215,0.0069611780455153
ToN-IoT-Network,HistGradientBoosting,missing_features_50pct,0.6920653614852373,0.3680781758957654,0.9091348014431726,0.6319218241042345,0.023739402052655
ToN-IoT-Network,MLP,class_imbalance_stress,0.8739629926278563,0.6503733876442634,0.9924991115448902,0.3496266123557366,0.0043730477465417
ToN-IoT-Network,MLP,clean_baseline,0.8614758448123616,0.6642915309446255,0.9805798272357336,0.3357084690553746,0.0042838018741633
ToN-IoT-Network,MLP,feature_noise_high,0.4250881117688279,0.017100977198697,0.6965096452769826,0.9828990228013028,0.0110664881749219
ToN-IoT-Network,MLP,feature_noise_low,0.4234062064597698,0.0128257328990228,0.6977528986306752,0.9871742671009772,0.0011601963409192
ToN-IoT-Network,MLP,label_noise_5pct,0.8081495127816756,0.5861805688108418,0.9288435364322768,0.4138194311891582,0.022338665195808
ToN-IoT-Network,MLP,missing_features_20pct,0.7298095733203978,0.57064332247557,0.822386228260809,0.4293566775244299,0.1277108433734939
ToN-IoT-Network,MLP,missing_features_50pct,0.628435855863192,0.4643729641693811,0.7590338031170589,0.5356270358306189,0.2111557340473003
UNSW-NB15,HistGradientBoosting,class_imbalance_stress,0.8998993041683276,0.9318181818181818,0.9983018419478746,0.0681818181818181,0.0522302308576203
UNSW-NB15,HistGradientBoosting,clean_baseline,0.9377440902590344,0.9323751612308826,0.994586915993096,0.0676248387691173,0.0522302308576203
UNSW-NB15,HistGradientBoosting,feature_noise_high,0.708278637378591,0.4683987470057121,0.8244730182558924,0.5316012529942878,0.0746892301263971
UNSW-NB15,HistGradientBoosting,feature_noise_low,0.8194456363168283,0.6733001658374793,0.9211009452831236,0.3266998341625207,0.062049514258853
UNSW-NB15,HistGradientBoosting,label_noise_5pct,0.8905080080357362,0.8615550368109176,0.9439292700762746,0.1384449631890824,0.0807973703742975
UNSW-NB15,HistGradientBoosting,missing_features_20pct,0.8421916002325558,0.6830661507278423,0.958983862272131,0.3169338492721577,0.033845189595738
UNSW-NB15,HistGradientBoosting,missing_features_50pct,0.6860738396813092,0.3666850930532522,0.8862400673586854,0.6333149069467477,0.010446046171524
UNSW-NB15,MLP,class_imbalance_stress,0.8324156375886742,0.9563882063882064,0.9961729885105222,0.0436117936117936,0.1136529823461819
UNSW-NB15,MLP,clean_baseline,0.9113603557780564,0.9563294637921504,0.9892584958313728,0.0436705362078496,0.107176433719837
UNSW-NB15,MLP,feature_noise_high,0.3017287653179722,0.9718076285240465,0.6651196361836671,0.0281923714759535,0.9612451687036456
UNSW-NB15,MLP,feature_noise_low,0.3229207558134143,0.9810208218168416,0.7064506264211764,0.0189791781831582,0.9426512065183328
UNSW-NB15,MLP,label_noise_5pct,0.8648804537866042,0.8791524510684144,0.9370564609324102,0.1208475489315855,0.1332838511292546
UNSW-NB15,MLP,missing_features_20pct,0.8137976945508174,0.8448498249493275,0.9451674420216158,0.1551501750506725,0.1908492635537449
UNSW-NB15,MLP,missing_features_50pct,0.7174547062022827,0.7383453104846139,0.8803767288183493,0.261654689515386,0.2777603677008252
