family,model,train_time_sec,inference_latency_sec_per_sample,peak_memory_MB,n_params
classical_tree,CatBoost,3.057809750239054,3.6648883601997204e-07,1.6312492222222224,
classical_tree,DecisionTree,0.38407434357537157,1.1790352139462504e-07,19.040648666666666,
classical_tree,ExtraTrees,1.165508508682251,5.269166693183572e-06,207.74076622222222,
classical_tree,GaussianNB,0.04042755232916932,6.317908105190175e-07,46.235688555555555,
classical_tree,GradientBoosting,27.454472303390503,1.7616764062487215e-06,22.310353555555555,
classical_tree,HistGradientBoosting,1.757553497950236,1.5725764557866831e-06,71.35566188888889,
classical_tree,LightGBM,0.5286965370178223,5.388412911440048e-07,4.405591444444444,
classical_tree,LinearSVM,31.299482531017727,6.320773305353267e-07,32.54993455555555,
classical_tree,LogisticRegression,1.8132678137885199,1.8027382005792924e-07,16.206828666666667,
classical_tree,RandomForest,1.7621233728196886,5.873898986646731e-06,248.24479655555555,
classical_tree,XGBoost,0.3871638509962294,2.062745878016503e-07,0.9155657777777778,
classical_tree,kNN,0.007766008377075155,4.018737358518959e-05,37.67924711111111,
deep,1D-CNN,12.153332524829441,1.0356425275591854e-05,3.2894692222222224,7298.0
deep,CNN-BiLSTM,58.696693632337784,1.7970329921674967e-05,3.289563666666667,21154.0
deep,CNN-LSTM,31.02573651737637,1.2537574044651619e-05,3.286885777777778,12642.0
deep,FT-Transformer,52.88750539885627,1.3267275481126782e-05,3.292453222222222,2306.0
deep,GRU,22.52069640159607,1.7020269893079253e-05,3.286172111111111,7426.0
deep,LSTM,26.844051149156357,1.1449025217072562e-05,3.286892,9879.333333333334
deep,MLP,6.58041524887085,6.26195141787477e-06,3.3534694444444444,7084.666666666667
deep,TCN,20.9840636783176,1.4842882195891169e-05,3.285775888888889,7298.0
deep,TransformerEncoder,51.68379100163778,1.2259869412426654e-05,3.2916877777777778,10007.333333333334
graph,GAT,7.007800976435344,7.4327424541328055e-06,1.310274777777778,8610.0
graph,GCN,4.545963843663533,5.264069197085926e-06,1.3798025555555555,5964.666666666667
graph,GraphSAGE,4.479674842622545,4.610651862517437e-06,1.3860815555555555,8354.0
graph,HypergraphNN,5.685725159115261,6.398941378217661e-06,1.289063111111111,5964.666666666667
graph,Protocol-role-GAT,9.042512072457207,9.17302675561911e-06,1.3271546666666667,14199.333333333334
rl,A2C,,,,
rl,CQL_Offline,,,,
rl,DQN,,,,
rl,DoubleDQN,,,,
rl,DuelingDQN,,,,
rl,GreedyCentrality,,,,
rl,GreedyUncertainty,,,,
rl,OracleUpperBound,,,,
rl,PPO,,,,
rl,RandomAcquisition,,,,
rl,StaticThreshold,,,,
selected_method,C3_OfflineSafeGraphRL,,,,
