dataset,model,label_fraction,macro_f1,minority_recall,pr_auc
CICIoT2023,HistGradientBoosting,0.01,0.8769968959264804,0.7545081967213115,0.9998041954031262
CICIoT2023,HistGradientBoosting,0.05,0.929627353714517,0.8639344262295082,0.9999591648923338
CICIoT2023,HistGradientBoosting,0.1,0.9407998573253462,0.896311475409836,0.9999706980076608
CICIoT2023,HistGradientBoosting,0.25,0.953779079134374,0.9159836065573772,0.9999805330686288
CICIoT2023,HistGradientBoosting,0.5,0.9533879979550048,0.9094262295081968,0.99998304481656
CICIoT2023,HistGradientBoosting,1.0,0.9591549022989748,0.9229508196721312,0.9999872738837478
CICIoT2023,MLP,0.01,0.5523770377713842,0.9815573770491804,0.9977020770008636
CICIoT2023,MLP,0.05,0.6338362702379657,0.7290983606557377,0.9847018601882872
CICIoT2023,MLP,0.1,0.731600482768038,0.9372950819672132,0.9966173894336728
CICIoT2023,MLP,0.25,0.6802050132075561,0.6196721311475409,0.976113840210698
CICIoT2023,MLP,0.5,0.7497532119831674,0.9221311475409836,0.9982063608375016
CICIoT2023,MLP,1.0,0.8747793269213742,0.8786885245901639,0.9977635438145788
ToN-IoT-Network,HistGradientBoosting,0.01,0.8551335282776742,0.6492263843648208,0.9969332449361642
ToN-IoT-Network,HistGradientBoosting,0.05,0.993390858331365,0.985342019543974,0.9994932422991124
ToN-IoT-Network,HistGradientBoosting,0.1,0.9945720858032948,0.9890065146579804,0.9992896704092212
ToN-IoT-Network,HistGradientBoosting,0.25,0.99758263979574,0.9955211726384364,0.9997756330966832
ToN-IoT-Network,HistGradientBoosting,0.5,0.997435545110041,0.9949104234527688,0.9998238873293768
ToN-IoT-Network,HistGradientBoosting,1.0,0.9984618561274656,0.9969462540716612,0.999921829767798
ToN-IoT-Network,MLP,0.01,0.6696460795574909,0.3982084690553746,0.8389140115056828
ToN-IoT-Network,MLP,0.05,0.709650491475289,0.4287459283387622,0.9009861560239042
ToN-IoT-Network,MLP,0.1,0.7376167147340009,0.6414902280130294,0.88915039464455
ToN-IoT-Network,MLP,0.25,0.8098793927814177,0.6425081433224755,0.9539261078801836
ToN-IoT-Network,MLP,0.5,0.809425058205306,0.6616449511400652,0.955616372366384
ToN-IoT-Network,MLP,1.0,0.828055980652323,0.6614413680781759,0.955482054988834
UNSW-NB15,HistGradientBoosting,0.01,0.9091803635760004,0.890731527547448,0.986738981326585
UNSW-NB15,HistGradientBoosting,0.05,0.9205102354680668,0.8940482771328543,0.9905807950033672
UNSW-NB15,HistGradientBoosting,0.1,0.9266420091990104,0.9122903998525888,0.992089762430642
UNSW-NB15,HistGradientBoosting,0.25,0.9313457224246644,0.9215035931453842,0.9930355400109054
UNSW-NB15,HistGradientBoosting,0.5,0.9347522955694568,0.9268472452552056,0.994060391115316
UNSW-NB15,HistGradientBoosting,1.0,0.9377440902590344,0.9323751612308826,0.994586915993096
UNSW-NB15,MLP,0.01,0.7528562034349153,0.5426570849456421,0.8281332671665875
UNSW-NB15,MLP,0.05,0.7539948697883028,0.8205269946563479,0.8394218423642131
UNSW-NB15,MLP,0.1,0.7989397168356401,0.6287083103003501,0.9176947254005762
UNSW-NB15,MLP,0.25,0.8466339200856903,0.7436889625944352,0.8733861087386688
UNSW-NB15,MLP,0.5,0.8854978443592516,0.8848350838400589,0.9770277138082328
UNSW-NB15,MLP,1.0,0.8948501690667585,0.9360604385480008,0.9839809668615696
