dataset,baseline,family,winner_score,baseline_score,outcome
CICIoT2023,LogisticRegression,classical_tree,0.4651761767635844,0.518276234163964,loss
CICIoT2023,LinearSVM,classical_tree,0.4651761767635844,0.8293437439808873,loss
CICIoT2023,GaussianNB,classical_tree,0.4651761767635844,0.7434028771674437,loss
CICIoT2023,kNN,classical_tree,0.4651761767635844,0.8674195397807585,loss
CICIoT2023,DecisionTree,classical_tree,0.4651761767635844,0.9203941243231816,loss
CICIoT2023,RandomForest,classical_tree,0.4651761767635844,0.9360362025617164,loss
CICIoT2023,ExtraTrees,classical_tree,0.4651761767635844,0.9038588516730834,loss
CICIoT2023,GradientBoosting,classical_tree,0.4651761767635844,0.9580665221455978,loss
CICIoT2023,HistGradientBoosting,classical_tree,0.4651761767635844,0.9514225650093832,loss
CICIoT2023,XGBoost,classical_tree,0.4651761767635844,0.9562403872958196,loss
CICIoT2023,LightGBM,classical_tree,0.4651761767635844,0.9563879683264498,loss
CICIoT2023,CatBoost,classical_tree,0.4651761767635844,0.957349093210438,loss
CICIoT2023,MLP,deep,0.4651761767635844,0.8554229052569184,loss
CICIoT2023,1D-CNN,deep,0.4651761767635844,0.6059371150968803,loss
CICIoT2023,LSTM,deep,0.4651761767635844,0.7765795079067438,loss
CICIoT2023,GRU,deep,0.4651761767635844,0.7380658699631237,loss
CICIoT2023,CNN-LSTM,deep,0.4651761767635844,0.8124874446788307,loss
CICIoT2023,CNN-BiLSTM,deep,0.4651761767635844,0.8545400324239265,loss
CICIoT2023,TCN,deep,0.4651761767635844,0.7700683151979011,loss
CICIoT2023,TransformerEncoder,deep,0.4651761767635844,0.8592932067016823,loss
CICIoT2023,FT-Transformer,deep,0.4651761767635844,0.8279856711462021,loss
CICIoT2023,GCN,graph,0.4651761767635844,0.8366330867859346,loss
CICIoT2023,GraphSAGE,graph,0.4651761767635844,0.824339867671134,loss
CICIoT2023,GAT,graph,0.4651761767635844,0.7681257155127542,loss
CICIoT2023,Protocol-role-GAT,graph,0.4651761767635844,0.8403820979760098,loss
CICIoT2023,HypergraphNN,graph,0.4651761767635844,0.8112142090171568,loss
CICIoT2023,DQN,rl,0.4651761767635844,0.7027764157329255,loss
CICIoT2023,DoubleDQN,rl,0.4651761767635844,0.5277944276384402,loss
CICIoT2023,DuelingDQN,rl,0.4651761767635844,0.7781692302253593,loss
CICIoT2023,PPO,rl,0.4651761767635844,0.4939323953363519,loss
CICIoT2023,A2C,rl,0.4651761767635844,0.4939323953363519,loss
CICIoT2023,CQL_Offline,rl,0.4651761767635844,0.4796471822595273,loss
CICIoT2023,RandomAcquisition,rl,0.4651761767635844,0.4176089504985774,win
CICIoT2023,GreedyUncertainty,rl,0.4651761767635844,0.4549421921538824,win
CICIoT2023,GreedyCentrality,rl,0.4651761767635844,0.4549421921538824,win
CICIoT2023,StaticThreshold,rl,0.4651761767635844,0.4549421921538824,win
CICIoT2023,OracleUpperBound,rl,0.4651761767635844,1.0,loss
CICIoT2023,LogisticRegression,classical_tree,0.4651761767635844,0.5111083697257266,loss
CICIoT2023,LinearSVM,classical_tree,0.4651761767635844,0.825944387188448,loss
CICIoT2023,GaussianNB,classical_tree,0.4651761767635844,0.739530123819963,loss
CICIoT2023,kNN,classical_tree,0.4651761767635844,0.8643534044527693,loss
CICIoT2023,DecisionTree,classical_tree,0.4651761767635844,0.9263642574850156,loss
CICIoT2023,RandomForest,classical_tree,0.4651761767635844,0.9349763270332714,loss
CICIoT2023,ExtraTrees,classical_tree,0.4651761767635844,0.903299013998816,loss
CICIoT2023,GradientBoosting,classical_tree,0.4651761767635844,0.9625288199240204,loss
CICIoT2023,HistGradientBoosting,classical_tree,0.4651761767635844,0.9578327671250416,loss
CICIoT2023,XGBoost,classical_tree,0.4651761767635844,0.9551055564682672,loss
CICIoT2023,LightGBM,classical_tree,0.4651761767635844,0.9550948483249052,loss
CICIoT2023,CatBoost,classical_tree,0.4651761767635844,0.960808921085304,loss
CICIoT2023,MLP,deep,0.4651761767635844,0.7775988625006502,loss
CICIoT2023,1D-CNN,deep,0.4651761767635844,0.7561907755237569,loss
