baseline,dataset,metric,n_paired_seeds,winner_mean,baseline_mean,t_stat,p_ttest,wilcoxon_stat,p_wilcoxon,cohens_d,p_ttest_holm,p_wilcoxon_holm
LogisticRegression,UNSW-NB15,macro_f1,3,0.6457648104174395,0.7787717017727115,-5.719764653399375,0.029232679193770355,0.0,0.25,-4.512458960450013,0.3800248295190146,1.0
LinearSVM,UNSW-NB15,macro_f1,3,0.6457648104174395,0.8796947002283533,-9.581521846540177,0.010717784265471703,0.0,0.25,-7.974878158507524,0.24268598425385315,1.0
GaussianNB,UNSW-NB15,macro_f1,3,0.6457648104174395,0.7380316565486434,-4.561361885027287,0.04485400840994635,0.0,0.25,-3.0813691482734775,0.3810487131195796,1.0
kNN,UNSW-NB15,macro_f1,3,0.6457648104174395,0.9148061299644327,-11.1726365943532,0.007916037967271888,0.0,0.25,-9.173515895833221,0.21840423761767463,1.0
DecisionTree,UNSW-NB15,macro_f1,3,0.6457648104174395,0.9279038822138729,-11.927089693162765,0.006956341556895136,0.0,0.25,-9.623854222708312,0.21840423761767463,1.0
RandomForest,UNSW-NB15,macro_f1,3,0.6457648104174395,0.9358069729569239,-12.599796259173779,0.0062401210747907035,0.0,0.25,-9.885234753295945,0.21840423761767463,1.0
ExtraTrees,UNSW-NB15,macro_f1,3,0.6457648104174395,0.9176899763272365,-11.826203336328327,0.00707427154929171,0.0,0.25,-9.274841464913717,0.21840423761767463,1.0
GradientBoosting,UNSW-NB15,macro_f1,3,0.6457648104174395,0.9305853531886163,-11.97404644903611,0.006902451807862864,0.0,0.25,-9.72096660727532,0.21840423761767463,1.0
HistGradientBoosting,UNSW-NB15,macro_f1,3,0.6457648104174395,0.9388987513000336,-11.9627511433657,0.006915357677828609,0.0,0.25,-10.001333943557157,0.21840423761767463,1.0
XGBoost,UNSW-NB15,macro_f1,3,0.6457648104174395,0.9403248366261758,-12.380635288284411,0.006460845255374899,0.0,0.25,-10.048305529490873,0.21840423761767463,1.0
